epoch,w_net_1_0,w_net_1_1,w_net_1_2,w_net_1_3,w_net_1_4,w_net_1_5,w_net_1_6,w_net_1_7,w_net_1_8,w_net_1_9,w_net_2_0,w_net_2_1,w_net_2_2,w_net_2_3,w_net_2_4,w_net_2_5,w_net_2_6,w_net_2_7,w_net_2_8,w_net_2_9
45,0.4716689228389094,0.46481704865299545,0.4762843798650751,0.49180672268907566,0.47200481637567726,0.49665405877218516,0.4497955927809353,0.4688453587951571,0.44954856632602447,0.46079312755968427,0.46894531250000004,0.46937159821870367,0.48945229340042584,0.49189627228525123,0.474221643808189,0.495569875151027,0.45000000000000007,0.4665171745999388,0.4507250665877479,0.4606315789473685
45,0.09939,0.09951,0.10142,0.10533,0.10006,0.1059,0.09587,0.09936,0.09541,0.09776,0.09956,0.09926,0.10239,0.10471,0.09998,0.10541,0.09627,0.09911,0.09561,0.09769
46,0.4679442852909217,0.46572339577520916,0.4763705103969754,0.48889341756674143,0.4749677803112917,0.4904407325417589,0.458168864927313,0.4665198678810929,0.453219218050963,0.45661914460285136,0.4682639358516085,0.4665477252453166,0.4796263984399056,0.4875128998968008,0.4703261089730607,0.4914082559747186,0.45470366431402875,0.4630334602284111,0.45108587368001596,0.4563703400245801
46,0.09952,0.09916,0.10141,0.10492,0.10028,0.10593,0.09625,0.09944,0.09557,0.09752,0.09972,0.09928,0.10247,0.10454,0.09995,0.10538,0.09623,0.09907,0.09576,0.09759
47,0.46303962152572453,0.46540000000000004,0.4818335445711871,0.48852594583419473,0.47120262608176666,0.49623015873015874,0.46152391756475697,0.4681019158601619,0.4495139853203729,0.45777596242213825,0.4651094317401119,0.46583109519546406,0.47730989370400645,0.49005424954792043,0.46777755470788995,0.49259407526020826,0.45378233284529046,0.4629760581876957,0.44740785136350003,0.45938855816769253
47,0.09934,0.09907,0.10159,0.10466,0.10049,0.10566,0.09659,0.09927,0.09579,0.09755,0.09955,0.09937,0.10248,0.10453,0.09994,0.10536,0.09622,0.09902,0.09579,0.09774
48,0.4663371230845279,0.47001972386587787,0.4781107160995429,0.4915352616813389,0.47148100386866376,0.501002215423568,0.4491358994501179,0.46523742736926466,0.4511591044184664,0.4576619111156728,0.4632862018527547,0.4642607915462067,0.4769449522648791,0.49103942652329746,0.46692214602662363,0.4961474690334535,0.44890656063618284,0.4626072742133224,0.4481595396368687,0.4566200657894737
48,0.09931,0.09925,0.10172,0.10435,0.10044,0.10565,0.09666,0.09926,0.09579,0.09758,0.09958,0.09942,0.10237,0.10451,0.09997,0.10542,0.09614,0.09897,0.09585,0.09777
49,0.4650578179989945,0.4677013000100775,0.48142065284335867,0.49475491131031857,0.469102853623486,0.49177597334998957,0.4595838527183814,0.46610845295055814,0.44909704306410003,0.462114405510632,0.46459515984463706,0.4665611396913336,0.4840795532477712,0.4937170263788968,0.470286576168929,0.5005295488244016,0.44963738920225615,0.4666136724960255,0.4486,0.4585365853658536
49,0.09927,0.09925,0.10182,0.10443,0.10032,0.10531,0.09689,0.0993,0.0958,0.09761,0.0993,0.0994,0.10259,0.10458,0.10012,0.10552,0.09618,0.09894,0.09571,0.09765
50,0.46436713252056705,0.46594874862897595,0.4776979872559928,0.5033457249070632,0.4697999999999999,0.5074546819693232,0.4502509595512252,0.46522565796057247,0.4482622041786316,0.4583290195672429,0.4676908305328853,0.4640667403759172,0.47352342158859473,0.4852563443953559,0.4722358722358724,0.4918115141163468,0.4461200439428743,0.469508003535304,0.44956338452273403,0.4565128623928134
50,0.09892,0.09926,0.10184,0.10489,0.10019,0.10573,0.09688,0.09911,0.09571,0.09747,0.09942,0.09935,0.10209,0.10448,0.10021,0.10555,0.09618,0.09924,0.09583,0.09765
51,0.46820027063599456,0.4655258183265346,0.47563996696944666,0.4885051800690675,0.4710910005027652,0.4943403992591069,0.45442216409958336,0.46686686686686685,0.4485023385411484,0.4558687852383393,0.46771344455348374,0.4644535546445355,0.47857142857142854,0.49139280125195617,0.4765594730724526,0.5044016954678838,0.45315079133896496,0.467767929089444,0.45100342633382284,0.45813811366877166
51,0.09897,0.0993,0.10185,0.10491,0.10007,0.10594,0.09676,0.09917,0.09555,0.09747,0.09929,0.09916,0.10194,0.10454,0.10038,0.10599,0.09602,0.09934,0.09573,0.09762
52,0.4694075438766606,0.4673784104389087,0.47667593450725965,0.490840176879343,0.4738594086547876,0.4961712153936776,0.446626984126984,0.4640039940089865,0.4490100487513681,0.46067644661776685,0.4719923918212078,0.46674643533752125,0.4767705967375594,0.49016553067185975,0.4686292932456415,0.49328334895345205,0.45593647104396673,0.4666798497132688,0.4506172839506173,0.4571893430953834
